Round,Lake Name,Sampling Date & Time,Year,Total Alkalinity (mg/L as CaCO3),Chlorophyll a (free of pheophytin) (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Involatile (Inorganic) Suspended Solids (mg/L),TN (mg/L),Total Phosphorus as P (µg/L),Soluble Reactive Phosphorus as P (µg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),Lake Depth at Sampling Site (m),Secchi Transparency at Sampling Site (m),Epilimnetic Average Temperature (°C),Epilimnetic Average pH,Epilimnetic Average Dissolved Oxygen (% Saturation),Epilimnetic Average Dissolved Oxygen (mg/L),Epilimnetic Average Specific Conductivity (uS/cm),Epilimnetic Average Total Dissolved Solids (g/L),Epilimnetic Average Turbidity (NTU),Phytoplankton Total Biomass (mg/L),Zooplankton Total Biomass (µg/L),Chlorophyta,Cyanophyta
3,(048) Ingham Lake (Emmet ) ,9/5/2010 12:34,,135,113,26,19.3,6.7,1.3751,193.3,4,0.25,2.6,0.2,19.7,8.8,116.7,10.7,390,,21.8,243.2940912,88.646124,2.455758031,237.5097105
1,(048) Ingham Lake (Emmet ) ,5/31/2011 11:59,,126,113,27.9,22.6,5.3,0.84786,131.7,5.5,0.2,2.8,0.4,20.2,8.8,117.4,10.6,360,0.2,36.4,246.9359384,182.0353405,2.700333243,233.763384
2,(048) Ingham Lake (Emmet ) ,7/18/2011 10:54,,132,167,47,32,15,1.4959,152.4,5.5,0.2,2.6,0.3,28.5,8.7,157.8,12.2,360,0.2,46.2,65.61627489,302.8318206,1.193408715,63.03202209
3,(048) Ingham Lake (Emmet ) ,8/29/2011 11:20,,114,227,42,42,2.5,4.0556,180.8,5.5,0.2,2.4,0.3,23.3,9,118.3,10.1,340,0.2,63.1,341.6958247,91.48621436,2.536735992,335.7281109
1,(048) Ingham Lake (Emmet ) ,5/29/2012 12:38,,137,144,52.8,37.6,15.2,4.7874,92.7,5,0.03,2.5,0.4,21,8.5,101.8,9.1,260,0.4,29.9,127.3440143,274.2547855,5.977889955,106.7546344
2,(048) Ingham Lake (Emmet ) ,7/16/2012 10:14,,125,202,65,50,15,5.38155,92.8,5,0.03,2.3,0.3,27.6,8.6,95.7,7.5,260,0.4,44.2,269.5377928,53.50076706,4.234684916,255.6472488
3,(048) Ingham Lake (Emmet ) ,8/29/2012 11:10,,117,249,60.5,51,9.5,5.089,206.3,19.9,0.03,2.1,0.2,23.3,8.7,84.1,7.2,250,0.4,76.3,2912.223528,111.0878395,2.977363768,2898.765809
1,(048) Ingham Lake (Emmet ) ,5/28/2013 14:24,,111,135,34.1,28.8,5.3,5.56,158.2,7,0.22,2.5,0.3,15.3,8.7,122,12.2,390,0.3,20.6,281.84587,215.6451291,1.678217616,269.9697298
2,(048) Ingham Lake (Emmet ) ,7/15/2013 12:00,,125,142,46,44,1.6,4.928,133.5,7,0.07,2.4,0.3,24.7,8.3,90,7.5,470,0.3,61.3,965.0430308,242.6413978,14.91451772,936.2555645
3,(048) Ingham Lake (Emmet ) ,8/27/2013 12:20,,110,141,45.3,38.7,6.7,4.52,216.2,7,0.07,2.4,0.3,26.7,8.9,121.7,9.7,440,0.3,32.4,1006.046104,165.1809569,14.87087451,976.3169033
1,(048) Ingham Lake (Emmet ) ,6/2/2014 13:21,,121,116.9,34,28,6,3.4181,102.9,49.7,0.03,2.4,0.3,23.4,8.7,143.1,12.2,460,0.3,21.8,172.9377808,215.9853434,3.798626843,164.1730585
2,(048) Ingham Lake (Emmet ) ,7/21/2014 12:22,,135,141.8,44.5,37,7.5,3.3812,173.9,2.8,0.03,2.6,0.3,23.7,8.5,113.8,9.6,450,0.3,42.3,739.4514553,160.1610384,12.06867324,714.4750487
3,(048) Ingham Lake (Emmet ) ,9/1/2014 12:39,,101,140.2,32,0,32,0.9631,135.3,2.8,0.03,2.5,0.2,22.5,9.1,128.8,11.1,400,0.3,30.2,284.4184637,162.4737977,2.82915666,278.7029731
1,(048) Ingham Lake (Emmet ) ,6/1/2015 14:06,,163,55,19,13.7,5.3,3.3982,114.9,2.2,0.03,2.7,0.3,18.4,8.6,126.2,11.8,540,0.4,24.2,196.349608,136.8701387,2.650363774,179.724544
2,(048) Ingham Lake (Emmet ) ,7/20/2015 12:51,,138,82.1,44.1,32.5,11.6,2.58515,143.4,6.5,0.03,2.4,0.4,26.9,8.6,151,12.05,520,0.34,24.4,1297.428654,50.54385583,10.33903173,1276.977315
3,(048) Ingham Lake (Emmet ) ,8/30/2015 12:55,,103,90.7,35.5,32,3.5,2.91015,120.5,11.1,0.03,2.5,0.4,18.8,8.9,158.2,14.71,440,0.29,23.1,499.1916084,61.19803337,4.12735466,493.1747391
1,(077) Lost Island Lake (Palo Alto ) ,6/15/2000 8:15,,185,13.9,29,6,23,1.98,,,0.25,3.7,0.48,19.9,8.4,85,7.7,411,,30,15.80807,,0.0866,13.00297
2,(077) Lost Island Lake (Palo Alto ) ,7/14/2000 9:00,,154,64.2,24,7,16,2.12,,,0.2,3.7,0.35,27,8.6,108,8.6,702,,33,53.20396,112.885179,,52.92242
3,(077) Lost Island Lake (Palo Alto ) ,8/7/2000 13:15,,157,10.2,25,9,17,2.1,,,0.22,3.7,0.47,25.4,8.8,151,12.4,364,,50,197.55551,47.916629,,197.36426
1,(077) Lost Island Lake (Palo Alto ) ,5/16/2001 15:15,,160,,4,2,2,2.26,113,,0.58,4.1,4.15,19.5,8,131,12,303,,12,0.08582,555.61122,,0.0054
2,(077) Lost Island Lake (Palo Alto ) ,6/14/2001 10:00,,174,17.2,25,9,15,2.39,166,,0.34,3.9,0.65,21.5,8.3,,,367,,24,13.7257,221.68922,4.34632,8.66085
3,(077) Lost Island Lake (Palo Alto ) ,7/19/2001 9:00,,167,35.6,30,15,16,1.81,48,,0.13,3.3,0.5,27.2,8.8,119,9.4,610,,72,6.67815,107.600758,0.02101,4.12193
1,(077) Lost Island Lake (Palo Alto ) ,5/22/2002 14:40,,182,13.8,2,0.5,0.5,2.02,120,6,0.31,3.8,0.35,13.6,8.7,95,9.9,420,,97,52.50979,133.897978,5.18866,6.07899
2,(077) Lost Island Lake (Palo Alto ) ,6/19/2002 11:50,,206,23.9,50,21,29,1.45,,11,0.18,4,0.3,21.4,8.3,88,7.8,382,,79,585.6217,66.296347,0.59826,550.47022
3,(077) Lost Island Lake (Palo Alto ) ,7/25/2002 0:00,,169,77.8,29,13,16,1.58,82,3,0.22,3.7,0.25,25.1,8.3,95,7.8,477,,41,57.30051,129.027803,0.01557,56.89052
1,(077) Lost Island Lake (Palo Alto ) ,5/22/2003 0:00,,151,18.3,24,10,14,0.42,80,9,0.2,4.1,0.3,15.3,8.5,95,9.5,437,,32,8.53633,333.242491,0.82198,0.27204
2,(077) Lost Island Lake (Palo Alto ) ,6/19/2003 9:25,,133,14.7,24,14,11,1.84,66,2,0.22,4,0.6,22.3,8.5,86,7.4,431,,29,25.86985,149.453663,1.14484,24.24468
3,(077) Lost Island Lake (Palo Alto ) ,7/23/2003 16:00,,120,26.1,20,15,5,1.56,77,0.5,0.06,4,0.35,26.7,8.7,144,11.6,418,,24,117.29814,373.790279,,114.96464
1,(077) Lost Island Lake (Palo Alto ) ,5/20/2004 13:45,,176,25.9,25,19,7,1.52,85,0.5,0.19,3.7,0.47,16.8,8.8,104,10,436,,22,43.39508,527.017625,0.35949,41.99876
2,(077) Lost Island Lake (Palo Alto ) ,6/17/2004 9:45,,174,32.6,22,9,13,1.69,72,0.5,0.17,4,0.45,21.4,8.5,96,8.5,460,,117,425.56154,247.746876,0.81296,423.06964
3,(077) Lost Island Lake (Palo Alto ) ,7/21/2004 15:15,,183,37.5,24,15,8,1.48,70,2,0.14,3.7,0.45,26.4,8.6,106,8.5,452,,54,280.63021,286.331705,2.10102,276.83
1,(077) Lost Island Lake (Palo Alto ) ,5/26/2005 8:30,,204,18.7,11,9,2,1.94,52,,0.42,4.2,0.85,17,8.6,101,9.8,451,,37,21.38502,148.314951,1.01602,18.48841
2,(077) Lost Island Lake (Palo Alto ) ,6/22/2005 11:00,,197,48.2,22,12,10,1.63,54,0.5,0.26,4.2,0.3,23.8,8.9,127,10.7,437,,45,143.53645,51.355382,1.82396,140.6783
3,(077) Lost Island Lake (Palo Alto ) ,7/25/2005 12:15,,284,62.7,24,20,4,1.65,87,0.5,0.06,3.8,0.35,27.4,8.1,96,7.6,471,,18,111.26265,70.982098,0.81875,109.84165
1,(077) Lost Island Lake (Palo Alto ) ,5/24/2006 14:10,,192,26.6,27,16,11,2.01,65,0.5,0.4,3.8,0.65,17.8,9.3,109,10.4,417,,70,103.69956,317.926716,1.45081,100.14477
2,(077) Lost Island Lake (Palo Alto ) ,6/21/2006 16:18,,188,56,36,24,12,1.73,92,,0.06,4,0.3,22.4,9,160,13.9,409,,28,1183.92696,84.761837,0.53558,1180.86852
3,(077) Lost Island Lake (Palo Alto ) ,7/27/2006 8:50,,179,29.2,26,23,3,1.56,79,,0.06,3.8,0.57,25.9,9,103,8.4,437,,37,787.76686,83.74621,0.39315,787.21871
1,(077) Lost Island Lake (Palo Alto ) ,5/23/2007 11:45,,182,28.6,25,14,12,1.52,85,2.5,0.29,4,0.43,19.2,8.6,100,9.3,431,,34,59.29875,149.341351,1.36827,51.22531
2,(077) Lost Island Lake (Palo Alto ) ,6/20/2007 8:30,,193,30.2,24,11,13,1.55,76,2.5,0.29,3.9,0.25,23,8.4,92,7.9,421,,34,270.1629,62.938901,1.49669,263.67726
3,(077) Lost Island Lake (Palo Alto ) ,7/25/2007 13:15,,176,30.7,21,19,2,0.69,66,2.5,0.29,3.7,0.55,26.6,8.4,132,10.6,418,,20,51.5401,39.761997,0.31207,50.24107
1,(077) Lost Island Lake (Palo Alto ) ,6/4/2009 10:03,,204,10,14.8,10.7,4.1,0.375,79,4.5,0.25,3.9,0.7,18.4,8.7,110.5,10.4,430,,9.9,302.57485,215.283581,3.1952,298.47238
2,(077) Lost Island Lake (Palo Alto ) ,7/8/2009 14:20,,179,19,30,20,10,1.86,90.6,4.5,0.25,3.9,0.4,24.1,8.7,105.3,8.8,380,,15.9,91.1537,144.442149,0.2843,74.38363
3,(077) Lost Island Lake (Palo Alto ) ,8/5/2009 8:50,,172,19,29.3,18,11.3,1.79,123.4,4.5,0.25,3.9,0.4,22.6,8.8,,,400,,18.8,558.80192,98.652046,0.16275,555.17476
1,(077) Lost Island Lake (Palo Alto ) ,6/1/2010 12:39,,177,9,9.5,4.5,2,0.25,43.3,4,0.25,4,1.2,21.8,8.4,100.8,8.8,440,,5.1,448.8959751,619.525,10.76744724,437.6938461
2,(077) Lost Island Lake (Palo Alto ) ,7/19/2010 14:53,,177,26,24.5,12.5,12,0.25,134.9,23.9,0.25,4.2,0.4,26.5,8.4,104.3,8.4,400,,16.2,59.12860696,134.9693913,0.904053142,57.20729829
3,(077) Lost Island Lake (Palo Alto ) ,9/1/2010 16:30,,156,30,21,11,10,1.56,64.9,4,0.25,3.9,0.5,24.4,8.9,138.3,11.6,320,,6.3,290.9142482,258.1921313,1.729428207,282.9383725
1,(077) Lost Island Lake (Palo Alto ) ,5/31/2011 14:06,,184,35,12.9,4,5.7,1.01,57.7,5.5,0.2,3.9,0.8,19.4,8.5,115.3,10.6,380,0.3,17.9,45.75654935,498.9623226,1.363475335,42.26023039
2,(077) Lost Island Lake (Palo Alto ) ,7/18/2011 12:05,,174,47,17,9.5,7.5,0.25,85.8,5.5,0.2,3.8,0.6,27.9,8.5,136.7,10.7,370,0.2,21.4,35.70419257,237.7242246,0.020959582,35.58845922
3,(077) Lost Island Lake (Palo Alto ) ,8/29/2011 12:40,,149,64,17.8,11.6,6.2,1.99,96.6,5.5,0.2,3.5,0.6,23.4,8.6,103.9,8.8,330,0.2,34.4,56.56339882,185.2431115,0.162164453,55.93592517
1,(077) Lost Island Lake (Palo Alto ) ,5/29/2012 14:47,,191,8,11.6,5.4,6.2,1.86,45.1,28.4,0.2,3.8,1,20.5,8.2,95,8.6,280,0.4,8.3,77.19203762,205.6799019,0.273694185,76.24429988
2,(077) Lost Island Lake (Palo Alto ) ,7/16/2012 12:07,,205,16,10.4,5.2,5.2,1.39,70.4,37.6,0.03,3.7,1.3,27.2,8.3,87,6.9,310,0.5,6.6,1534.986342,125.4897068,0.015130777,1534.870024
3,(077) Lost Island Lake (Palo Alto ) ,8/28/2012 16:30,,187,29,12.6,10.4,2.2,1.57,79.4,16.4,0.09,3.2,1,23.7,8.8,139.3,11.8,260,0.4,15.2,293.3492925,431.6923484,0.008890585,293.2248243
1,(077) Lost Island Lake (Palo Alto ) ,5/28/2013 12:31,,183,2,1.4,1.2,1.6,1.59,78.9,37.5,0.07,3.8,3.1,14.9,8.1,99.1,10,430,0.3,1.8,6.82421273,140.8335562,0.067988898,6.599072655
2,(077) Lost Island Lake (Palo Alto ) ,7/15/2013 10:30,,197,24,8.3,6.3,1.6,1.31,72.8,44,0.07,3.5,1.6,24.8,8.6,104.1,8.6,450,0.3,8.1,134.8598286,417.9089631,0.01026863,134.0798405
3,(077) Lost Island Lake (Palo Alto ) ,8/27/2013 10:35,,169,63,37.5,21,16.5,1.92,173.3,18.8,0.07,3.5,0.3,25.7,8.5,85.2,7,400,0.3,37.2,75.31341488,366.0218465,,74.54931062
1,(077) Lost Island Lake (Palo Alto ) ,6/2/2014 12:46,,178,9.2,9.8,4.6,5.2,1.01,34,12.3,0.03,3.6,0.9,21.9,8.2,115.5,10.1,430,0.3,6,33.92883532,569.6783604,4.578550274,28.60050557
2,(077) Lost Island Lake (Palo Alto ) ,7/21/2014 10:42,,154,21.8,18,9.6,8.4,1.49,63.7,2.8,0.03,3.8,0.7,23,8.5,120.3,10.3,360,0.2,17.5,52.83255102,68.1080163,0.136743567,43.61945319
3,(077) Lost Island Lake (Palo Alto ) ,9/1/2014 10:40,,156,28.7,15.8,9.6,6.2,0.88,60.4,2.8,0.03,3.8,0.8,22.3,8.7,107.7,9.4,360,0.2,9.4,99.05007027,80.48529919,1.125479043,53.50521357
1,(077) Lost Island Lake (Palo Alto ) ,6/1/2015 11:21,,189,19.9,12.8,7.4,5.4,1.72,47.9,2.2,0.03,3.8,0.9,17.2,8.6,130.9,12.6,420,0.3,6.7,571.8157512,223.1848823,0.105514686,571.428864
2,(077) Lost Island Lake (Palo Alto ) ,7/20/2015 10:15,,190,34,16,11.8,4.2,1.38,109.6,15,0.03,3.7,0.7,26.2,8.5,103.2,8.34,440,0.29,7.7,71.32315693,244.4776159,0.105744566,70.35823777
3,(077) Lost Island Lake (Palo Alto ) ,8/30/2015 10:40,,180,22.9,13.4,9.4,4,1.17,84.4,20.9,0.03,3.7,0.9,19,8.6,160.1,14.84,410,0.27,6.5,161.5859826,326.8928878,0.383917572,160.7248161
1,(105) Silver Lake (Dickinson) (Dickinson ) ,6/13/2000 0:00,2000,174,19.5,29,6,23,2.91,,,2.35,2.7,0.4,22,8.2,82,7.2,752,,39,1.55615,,0.42075,1.00034
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/12/2000 13:30,2000,150,65.3,22,11,11,3.04,,,1.27,2.7,0.88,26.6,8.8,157,12.6,1269,,73,36.06535,6.424641,,36.06535
3,(105) Silver Lake (Dickinson) (Dickinson ) ,8/3/2000 17:30,2000,94,24.5,4,4,0.5,1.28,,,0.17,2.4,1.27,26.1,9.3,192,15.5,613,,53,26.45181,86.477231,,26.45181
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/15/2001 14:45,2001,75,,14,3,10,6.55,124,,5.61,2.7,0.85,20.3,8.2,82,7.4,481,,26,0.03958,183.910832,,0.03035
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/12/2001 13:00,2001,175,6.8,27,6,21,6.26,170,,5.78,2.4,0.45,21.9,8.4,,,598,,35,0.52783,78.20908,0.27774,0.1853
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/17/2001 11:30,2001,152,13.8,19,11,8,6,149,,5.24,2.4,0.75,26.2,8.9,,,945,,12,0.19547,690.220544,,0.19547
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/21/2002 13:00,2002,151,3.6,29,9,20,2,89,36,0.95,2.1,0.4,13.4,8.3,104,10.8,644,,61,1.2912,217.763335,,
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/18/2002 12:00,2002,160,5.6,30,11,18,2.43,92,50,1.75,3,0.2,20.8,8.3,94,8.4,582,,44,294.9768,206.225677,0.06912,294.90768
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/23/2002 0:00,2002,160,18.9,68,20,48,0.89,158,92,0.21,2.4,0.3,25.6,8.2,93,7.6,754,,35,918.09462,81.597279,0.02209,913.53897
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/20/2003 0:00,2003,163,5.7,15,4,11,2.27,103,54,1.47,2.4,0.55,15.7,8.8,99,9.9,677,,25,0.7237,129.50375,0.05502,
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/17/2003 13:15,2003,124,2.6,7,3,5,2.85,58,23,2.18,2.7,1.75,23.6,8.4,104,8.8,691,,9,4.76167,104.966112,0.01422,4.72043
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/22/2003 0:00,2003,91,26.7,25,16,9,2.64,145,0.5,0.06,2.2,0.5,23.6,9.1,115,9.8,617,,82,52.09035,679.272959,,51.99833
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/18/2004 10:45,2004,200,1.3,9,2,7,1.29,105,69,0.55,2.5,1.15,14,8.6,95,9.8,760,,51,2.04018,323.70816,0.03056,1.95573
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/15/2004 10:00,2004,185,9.6,18,7,11,3.27,130,55,2.29,2.5,0.35,21.4,8.5,101,8.9,776,,99,22.75711,380.129098,0.07966,22.66252
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/20/2004 11:00,2004,125,327.8,61,56,5,3.6,195,0.5,0.72,2.6,0.28,27.4,8.7,210,16.6,629,,29,37.85893,328.748399,,37.53902
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/24/2005 10:30,2005,190,2.7,20,4,,5.22,72,41,4.47,2.7,0.35,18.8,8.3,100,9.3,668,,24,0.44998,65.093059,0.09757,0.05457
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/21/2005 9:45,2005,209,3.3,49,9,41,4.73,95,45,3.86,2.8,0.8,22.7,8.6,92,7.9,682,,412,2.13975,165.782608,0.21944,0.26264
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/26/2005 13:45,2005,151,267.7,25,14,12,1.73,66,3,,2.9,0.55,24.5,8.7,114,9.5,630,,104,21.10864,260.191137,,20.06972
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/23/2006 13:03,2006,196,8.1,17,5,12,6.48,89,47,5.7,2.5,0.5,17,9,104,10,645,,52,391.13377,38.309616,0.27276,220.20127
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/21/2006 10:19,2006,208,4.6,11,5,5,5.19,80,,4.28,2.5,0.75,22.5,8.9,157,13.6,675,,16,38.88462,82.090624,,38.87947
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/26/2006 7:42,2006,146,3.7,14,3,11,1.7,58,16,0.74,2.5,0.65,24.9,9.1,96,8,598,,38,207.28944,173.263529,,206.98498
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/22/2007 14:30,2007,174,5.9,47,13,34,4.84,147,45,3.02,2.4,0.25,19.5,8,94,8.7,585,,53,37.38469,85.595525,0.03129,26.3293
2,(105) Silver Lake (Dickinson) (Dickinson ) ,6/19/2007 11:30,2007,200,14.2,67,22,45,4.33,113,30,3.31,2.4,0.17,22.4,8.2,96,8.4,613,,72,31.75521,67.899845,,31.44487
3,(105) Silver Lake (Dickinson) (Dickinson ) ,7/23/2007 15:00,2007,152,9,13,8,5,1.97,66,2.5,0.83,2.4,0.65,27.1,8.5,137,10.9,568,,22,5.68432,760.518762,0.00904,5.65841
1,(105) Silver Lake (Dickinson) (Dickinson ) ,6/2/2009 14:21,2009,193,3,16.5,4,11.5,4.56,60,21.3,1.96,2.5,0.9,19.3,8.5,111.6,10.3,610,,8.9,44.69972,45.499263,0.01067,44.31352
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/7/2009 10:16,2009,200,6,9.2,4,4.2,3.56,68.1,17.1,1.35,2.5,1.5,23.9,8.6,106.7,9,620,,10.2,21.56908,247.386834,,21.3525
3,(105) Silver Lake (Dickinson) (Dickinson ) ,8/4/2009 11:50,2009,133,23,24.2,12.3,11.9,1.6,73.2,4.5,0.25,2.5,0.7,22.9,9,,,560,,27.5,178.06734,213.028531,,177.77764
1,(105) Silver Lake (Dickinson) (Dickinson ) ,6/2/2010 14:21,2010,157,15,8.2,4.5,2,1.18,63.1,11.2,1.18,2.6,0.5,19.5,8.3,103.6,9.5,570,,11.7,46.8956762,2011.368,0.004712013,46.88646455
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/20/2010 15:27,2010,126,37,5.3,4.5,2,3.66,54.5,4,1.32,2.5,1.1,27.9,8.6,183.5,14.4,490,,10.8,95.05350537,194.1898313,0.026195473,94.45100949
3,(105) Silver Lake (Dickinson) (Dickinson ) ,9/2/2010 9:35,2010,153,25,10,4.5,4,0.25,166.1,57.9,0.25,2.3,0.8,22.6,8.7,66.9,5.8,470,,10.1,31.30037588,578.040427,0.003805757,31.28134709
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/31/2011 14:45,2011,190,33,90,13.3,76.7,4.92,127,18,3.94,2.6,0.3,19.3,8.4,103.6,9.5,540,0.4,52.4,422.2359207,440.726017,0.651976223,417.8780747
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/18/2011 13:27,2011,148,10,3,4,2.5,2.91,56.9,17.1,2.91,2.7,1.1,28.7,8.3,107.8,8.3,440,0.3,6.7,13.35191465,299.6316351,0.016661621,13.28110276
3,(105) Silver Lake (Dickinson) (Dickinson ) ,8/30/2011 10:35,2011,160,3,33.8,4,28,1.55,163.1,113.6,0.2,2,0.4,22.5,8.2,97.6,8.4,510,0.3,54.5,8.31742523,757.434166,,8.207404139
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/30/2012 10:35,2012,179,24,18.2,6.4,11.8,3.5,108.9,37.2,1.86,2.7,0.5,18,8.5,98.2,9.3,380,0.6,27.2,201.6106578,213.2261675,0.011417277,201.5293389
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/16/2012 11:20,2012,169,56,30.8,15.1,15.7,1.64,,123,0.03,2.4,0.4,27.1,8.5,105.3,8.4,350,0.5,30,63.98551973,300.273889,,63.84851246
3,(105) Silver Lake (Dickinson) (Dickinson ) ,8/31/2012 14:03,2012,188,1,8.4,1.6,5.8,2.03,,410.6,0.07,2.2,1.3,23.5,8.2,87.9,7.5,390,0.6,6.7,4.365460809,58.3471374,,3.696488128
1,(105) Silver Lake (Dickinson) (Dickinson ) ,5/29/2013 11:07,2013,154,6,4.6,1.2,1.6,2.2,102.2,54.7,0.69,2.6,1.4,15.6,8.3,109.6,10.9,550,0.4,3.3,6.736852353,144.188422,0.023603976,
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/15/2013 16:47,2013,122,22,6.8,4.8,1.6,2.76,49.2,7,1.37,2.4,1.6,25.1,8.9,134.7,11.1,510,0.3,8,11.1042205,940.3025258,,11.09971419
3,(105) Silver Lake (Dickinson) (Dickinson ) ,8/26/2013 16:30,2013,156,53,14.6,10.1,4.4,1.74,232.9,117,0.07,2.2,0.9,26.7,9.1,146.3,11.7,540,0.4,19.4,91.31662317,335.6501627,0.035366649,91.25862187
1,(105) Silver Lake (Dickinson) (Dickinson ) ,6/3/2014 7:05,2014,170,1.7,5.4,2.2,3.2,1.28,154.4,108.6,0.08,2.4,1.9,21.3,8.6,88.8,7.9,600,0.4,4.4,0.292942113,514.9795715,0.011318468,0.071591609
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/22/2014 7:05,2014,176,20.7,12.2,5.2,7,1.85,181,99.7,0.46,2.2,0.8,24.2,8.7,106.4,8.9,540,0.4,11,8.719590029,916.0488325,0.025427469,8.538372798
3,(105) Silver Lake (Dickinson) (Dickinson ) ,9/3/2014 9:06,2014,184,31.6,13.2,6.4,6.8,1.76,306.7,219.8,0.03,2.2,0.9,22.2,9,99.4,8.7,540,0.4,11.7,232.8122845,809.7233077,0.007553007,232.7515807
1,(105) Silver Lake (Dickinson) (Dickinson ) ,6/2/2015 7:51,2015,177,3,7.4,3,4.4,1.93,97.2,54.4,0.39,2.8,1.3,16.8,8.3,153.9,14.9,630,0.4,11.6,1.516645108,458.7027415,0.073245916,1.272492055
2,(105) Silver Lake (Dickinson) (Dickinson ) ,7/21/2015 7:10,2015,154,75.4,25.7,14.3,11.3,2.19,328.1,202.8,0.03,2,0.5,24.8,8.8,79.6,6.6,610,0.4,21.2,43.08228998,1916.836875,0.005496392,42.98178453
3,(105) Silver Lake (Dickinson) (Dickinson ) ,8/30/2015 16:06,2015,166,15.7,17.49,7.74,9.74,1.46,317.8,234.1,0.03,2.3,0.5,19.7,8.7,106.4,9.72,580,0.38,21.4,20.79019542,430.5421824,0.011175683,20.24258697
,High Lake,5/24/2006 6:00,2006,183,,54,,,1.46,127,,,2.3,0.25,,8.6,108,10.2,,,56,,,,
,High Lake,6/22/2006 8:08,2006,138,,39,,,0.14,155,,,2,0.36,,8.6,91,7.8,,,28,,,,
,High Lake,7/27/2006 9:26,2006,159,,52,,,0.24,192,,,1.9,0.2,,8.4,93,7.4,,,68,,,,
,High Lake,5/23/2007 14:14,2007,129,,53,,,,283,,,2,0.12,,8.1,,,,,27,,,,
,High Lake,6/21/2007 8:15,2007,159,,41,,,0.56,160,,,2.1,0.38,,8.1,,,,,81,,,,
,High Lake,7/24/2007 16:15,2007,119,,78,,,,224,,,1.7,0.2,,8.9,,,,,,,,,
,High Lake,5/21/2010 9:30,2010,,65,36,,,0.15,150,,,,0.25,,8.3,,,,2.6,27.1,,,,
,High Lake,6/17/2010 9:45,2010,,140,54,,,0.15,280,,,,0.2,,,,,,3.2,,,,,
,High Lake,7/16/2010 14:45,2010,,190,54,,,0.15,300,,,,,,,,,,3,,,,,
,High Lake,8/18/2010 10:00,2010,,210,70,,,0.15,320,,,,,,,,,,2.6,,,,,
,High Lake,9/9/2010 10:00,2010,,170,80,,,0.15,320,,,,,,,,,,2.8,,,,,
,High Lake,5/15/2012 9:30,2012,,33,28,,,0.2,190,,,,,,,,,,3.4,,,,,
,High Lake,6/14/2012 10:30,2012,,100,85,,,0.28,240,,,,,,,,,,3.6,,,,,
,High Lake,7/17/2012 10:45,2012,,120,50,,,0.15,290,,,,,,,,,,3.2,,,,,
,High Lake,8/15/2012 8:45,2012,,200,52,,,0.15,260,,,,,,,,,,3,,,,,
,High Lake,9/11/2012 10:30,2012,,100,98,,,0.16,320,,,,,,,,,,3,,,,,
,High Lake,5/14/2013 14:30,2013,,79,35,,,0.19,200,,,,,,,,,,3,,,,,
,High Lake,6/10/2013 9:30,2013,,27,8,,,1.25,230,,,,,,,,,,3.6,,,,,
,High Lake,7/8/2013 10:30,2013,,45,12,,,0.65,130,,,,,,,,,,2.8,,,,,
,High Lake,8/13/2013 10:30,2013,,210,62,,,0.1,400,,,,,,,,,,3.3,,,,,
,High Lake,9/16/2013 9:30,2013,,89,33,,,0.14,240,,,,,,,,,,3.4,,,,,
,High Lake,5/15/2017 0:00,2017,,4.668052,15,,,0.96,100,,,,1,,7.89,,,,5.02,4.26,,,,
,High Lake,6/5/2017 0:00,2017,,8.357316,6,,,0.96,68,,,,2.4,,7.13,,,,4.69,4.66,,,,
,High Lake,7/10/2017 0:00,2017,,8.516932,32,,,0.06,269,,,,0.3,,8.3,,,,4.76,32,,,,
